indexx,position,start_time_in_video_in_sec,duration_in_video_in_sec,post_id,post_code,user_pk,user_pk_id,user_username,user_full_name,user_is_private,user_is_verified,user_profile_pic_id,user_profile_pic_url
0,"[0.2212963, 0.25925925]",,,3153355452800141937_13630337104,CvC-BO-sYpx,13630337104,13630337104,hajarzoonii,لوازم جانبی موبایل ،لوازم عکاسی،حاج ارزونی💢💣,0,0,3140087033216681157_13630337104,https://scontent-fra3-2.cdninstagram.com/v/t51.2885-19/358173765_244391501687032_2000555055742194218_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-fra3-2.cdninstagram.com&_nc_cat=104&_nc_ohc=-O2q1arpdoAAX84d8uh&edm=AMKDjl4BAAAA&ccb=7-5&oh=00_AfA2EHQqRsDHn8i52pLnPNs35Rcde4M9nd0piaEw9aKgHA&oe=64C280EF&_nc_sid=472314
1,"[0.5046728972, 0.7165109034]",,,3153261513552630315_49598754144,CvCoqPPNxIr,5820655561,5820655561,limoo.me,رژیم غذایی لیمومی/لاغری/تغذیه,0,0,2719154260508995955_5820655561,https://scontent-fra3-1.cdninstagram.com/v/t51.2885-19/262513840_1050390348838227_1920618203538116764_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-fra3-1.cdninstagram.com&_nc_cat=103&_nc_ohc=CaSwJ581dvcAX-B3GcL&edm=AMKDjl4BAAAA&ccb=7-5&oh=00_AfAD1uKsmrDDPDx6Uh7cVh7FAsVbLgKnLB1zTH-SiYXbOA&oe=64C2503A&_nc_sid=472314
2,"[0.11383599999999999, 0.44745407000000004]",,,3153237913428043653_47902820420,CvCjSz6LCeF,46978173319,46978173319,tintweets,tintweets | تین توییت,0,0,2677382441031532333_46978173319,https://scontent-fra3-2.cdninstagram.com/v/t51.2885-19/244346224_824546541569771_761705420468962535_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-fra3-2.cdninstagram.com&_nc_cat=111&_nc_ohc=ZBmX0obJy-kAX85Zw2q&edm=AMKDjl4BAAAA&ccb=7-5&oh=00_AfABlXx8eccWon4V-2dDKRmSFCntdu5-j799JUUQ_kC8Gg&oe=64C33909&_nc_sid=472314
3,"[0.2890222985, 0.2049755893]",,,3153204581512895229_60792303965,CvCbtxJNdr9,3145372723,3145372723,okcs.ir,OFOQ KOUROSH | افق کوروش,0,0,2427802976133653531_3145372723,https://scontent-fra5-1.cdninstagram.com/v/t51.2885-19/122421536_320074269094178_5784733549925738522_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-fra5-1.cdninstagram.com&_nc_cat=102&_nc_ohc=LVtnZwLXelUAX9qNoI-&edm=AMKDjl4BAAAA&ccb=7-5&oh=00_AfArXuvIcDJbbFcyvH4nG6TlnqCxywZ57rwDJ_woQkATcg&oe=64C17B2E&_nc_sid=472314
4,"[0.55761707, 0.50575256]",,,3153171475846373504_50661311773,CvCUMBFt6CA,50661311773,50661311773,shegeftshahr,عجایب دنیا,0,0,2719187026957155796_50661311773,https://scontent-fra3-2.cdninstagram.com/v/t51.2885-19/263192486_587899612166351_1272515272748746349_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-fra3-2.cdninstagram.com&_nc_cat=111&_nc_ohc=vMf4MTbGv1gAX_iT1Fq&edm=AMKDjl4BAAAA&ccb=7-5&oh=00_AfDBAhkI896dsc8ALUbftfgneaZDmHQm4KmUosIie0B9OA&oe=64C2DD9C&_nc_sid=472314
5,"[0.9375, 0.5410465999999999]",,,3153171479819137416_57196307369,CvCUMEygzGI,44078261794,44078261794,art.1th,تگ/اموزش/ادمین,0,0,2675434410675349032_44078261794,https://scontent-fra5-2.cdninstagram.com/v/t51.2885-19/243559921_445957673501361_6932749588286297914_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-fra5-2.cdninstagram.com&_nc_cat=109&_nc_ohc=Larq_U2sY3EAX-ytMfH&edm=AMKDjl4BAAAA&ccb=7-5&oh=00_AfD_M-KuxTYerfLvDYKXZaL11N2vtTfzvSXVMBIWb1z5Xw&oe=64C23D34&_nc_sid=472314
6,"[0.21305841920000002, 0.16943490460000002]",,,3153126823000629663_60792303965,CvCKCO4tWGf,10093642639,10093642639,drivers.snapp,باشگاه رانندگان اسنپ,0,0,2079115095425743614_10093642639,https://scontent-fra5-1.cdninstagram.com/v/t51.2885-19/65028931_476309659612346_5913852031637913600_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-fra5-1.cdninstagram.com&_nc_cat=102&_nc_ohc=KgSAavYDevcAX-sH0qb&edm=AMKDjl4BAAAA&ccb=7-5&oh=00_AfAMRWth6v5xS9pXYOHvAHnpIWk-isa-BPsZitAdk_Wpiw&oe=64C20813&_nc_sid=472314
7,"[0.8847352025, 0.9836601298000001]",,,3153074157725727014_37826764772,CvB-D2htLkm,869857544,869857544,snappfood_ir,SnappFood | اسنپ‌فود,0,0,2849670551745174365_869857544,https://scontent-fra5-1.cdninstagram.com/v/t51.2885-19/284408985_1385990741894780_5058783537808803209_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-fra5-1.cdninstagram.com&_nc_cat=108&_nc_ohc=qg0iJuySKtwAX-z5F4-&edm=AMKDjl4BAAAA&ccb=7-5&oh=00_AfBrH4E3xYxOpd8nHBFq9kdPTu3VG6vOlmkSHBx-06rzkw&oe=64C17212&_nc_sid=472314
8,"[0.37285223370000004, 0.1110156607]",,,3153196639757794315_60792303965,CvCZ6Mzt_wL,6816360937,6816360937,mellat_ib,تامین سرمایه بانک ملت,0,0,2911744816046137330_6816360937,https://scontent-fra5-1.cdninstagram.com/v/t51.2885-19/300706409_1298447184297188_2080270576512728450_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-fra5-1.cdninstagram.com&_nc_cat=108&_nc_ohc=0X6isGUPm0kAX9mBg98&edm=AMKDjl4BAAAA&ccb=7-5&oh=00_AfCqbwNFH15M3oO1whUCiOf9TizpYIFhpzhTfByJVZd8UQ&oe=64C28068&_nc_sid=472314
0,"[0.0, 0.0]",,,3152680405472315934_39324970337,CvAkiAKgwoe,1798647556,1798647556,ramin_abbasi_org,Ramin abbasi | رامين عباسى,0,0,2641681372188254371_1798647556,https://scontent-fra5-1.cdninstagram.com/v/t51.2885-19/238936978_2390407434425604_6184760766345221271_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-fra5-1.cdninstagram.com&_nc_cat=100&_nc_ohc=O_L_qiSgloMAX_Zbw0d&edm=AMKDjl4BAAAA&ccb=7-5&oh=00_AfA01DhuPyAkym7T1BXxNoviQ6c4-5MWkvsoQxD20KLp_w&oe=64C3088B&_nc_sid=472314
